"selection1_name","selection1_url","selection1_selection2"
"RONALD ACUNA JR 2018 TOPPS UPDATE AT BAT BLUE JRSY RC #US250 BRAVES SUPERSTAR!!","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-TOPPS-UPDATE-AT-BAT-BLUE-JRSY-RC-US250-BRAVES-SUPERSTAR/392941931090?hash=item5b7d2a0a52:g:ZJoAAOSwC-1fYBvh","$49.99"
"RONALD ACUNA JR. RC ROOKIE - 2018 Topps Update Series US250 Baseball Card","https://www.ebay.com/itm/RONALD-ACUNA-JR-RC-ROOKIE-2018-Topps-Update-Series-US250-Baseball-Card/333840911092?hash=item4dba780af4:g:Fg0AAOSw7Q1f62aM","$59.99"
"2018 Topps Update #US250 Ronald Acuna Jr RC","https://www.ebay.com/itm/2018-Topps-Update-US250-Ronald-Acuna-Jr-RC/363210624195?hash=item54910a4cc3:g:YjgAAOSwS6FfzZxl","$50.00"
"2018 Topps Update Ronald Acuna Jr. RC #US250 *Braves* Flagship Rookie","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-US250-Braves-Flagship-Rookie/233849727041?hash=item367287a841:g:ROoAAOSws~Rf9m--","$49.99"
"2018 Topps Update Ronald Acuna Jr. Rookie RC #US250","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-RC-US250/184608600670?hash=item2afb87b25e:g:bAMAAOSwhfFf9Ao7","$50.00"
"2018 Topps Update Ronald Acuna Jr. US250 Rookie RC Atlanta Braves Bat Up","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US250-Rookie-RC-Atlanta-Braves-Bat-Up/174587319049?hash=item28a6371309:g:OVUAAOSwVjBf981e","$54.99"
"2018 Topps Update Ronald Acuna RC #US250 BCCG 10 Atlanta Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-RC-US250-BCCG-10-Atlanta-Braves/174565871828?hash=item28a4efd0d4:g:u4cAAOSwLndf3uCj","$64.00"
"2018 Topps Update US250 Ronald Acuna Jr At Bat in Blue Jersey RC Rookie SGC 9.5","https://www.ebay.com/itm/2018-Topps-Update-US250-Ronald-Acuna-Jr-At-Bat-in-Blue-Jersey-RC-Rookie-SGC-9-5/114547273826?hash=item1aab8cb062:g:ARsAAOSwJ9Rfwv4k","$85.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves !! HOT!","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-HOT/154281380537?hash=item23ebe30ab9:g:fewAAOSwoMRf90gY","$39.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves (A) J29","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-A-J29/124515404077?hash=item1cfdb2492d:g:A1UAAOSwMQVf9Ojp","$30.00"
"2018 TOPPS UPDATE RONALD ACUNA JR. ROOKIE CARD US250 RC BRAVES","https://www.ebay.com/itm/2018-TOPPS-UPDATE-RONALD-ACUNA-JR-ROOKIE-CARD-US250-RC-BRAVES/203241081603?hash=item2f521ccb03:g:u3kAAOSwtlFf9rX6","$40.00"
